dataset,setting,seed,method,d_ref,lr,weight_decay,epoch,train_loss,val_metric,selected_run
ACM,hard,42,Project-and-Mean,32,0.001,0.0,191,0.012481464073061943,0.5612582564353943,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,192,0.012373415753245354,0.5612582564353943,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,193,0.01226676907390356,0.5612582564353943,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,194,0.012161500751972198,0.5612582564353943,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,195,0.012057584710419178,0.5612582564353943,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,196,0.011955002322793007,0.5612582564353943,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,197,0.011853732168674469,0.5629138946533203,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,198,0.011753745377063751,0.5629138946533203,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0,199,0.011655032634735107,0.5629138946533203,False
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,0,1.0699071884155273,0.36092716455459595,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,1,1.0031824111938477,0.3592715263366699,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,2,0.9408681988716125,0.374172180891037,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,3,0.882801353931427,0.3923841118812561,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,4,0.8286193609237671,0.40728476643562317,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,5,0.7778127193450928,0.44039735198020935,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,6,0.7299134731292725,0.4718542993068695,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,7,0.6846204996109009,0.4884105920791626,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,8,0.6416124105453491,0.4900662302970886,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,9,0.6007099151611328,0.49172186851501465,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,10,0.5617743134498596,0.5099337697029114,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,11,0.5248115658760071,0.5182119011878967,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,12,0.4898515045642853,0.5132450461387634,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,13,0.4569096863269806,0.5082781314849854,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,14,0.4260878264904022,0.5066224932670593,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,15,0.3974061608314514,0.5099337697029114,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,16,0.37079712748527527,0.5165562629699707,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,17,0.34618622064590454,0.5132450461387634,True
ACM,hard,42,Project-and-Mean,32,0.001,0.0001,18,0.3234961926937103,0.5132450461387634,True
