dataset,setting,seed,method,party,d_ref,hidden_mean,hidden_std,hidden_l2_mean,hidden_l2_std,projected_l2_mean,projected_l2_std
ACM,hard,45,Project-and-Concat,10,64,0.1819566786289215,0.2004280835390091,1.9520543813705444,0.9377534985542297,2.1366372108459473,0.8780804872512817
ACM,hard,45,Project-and-Concat,11,64,0.19673962891101837,0.2238476276397705,2.1025803089141846,1.123952031135559,2.248453140258789,1.1567662954330444
ACM,hard,45,Project-and-Concat,12,64,0.18628692626953125,0.20187650620937347,1.9527606964111328,1.0079532861709595,2.357407808303833,1.2780953645706177
ACM,hard,45,Project-and-Concat,13,64,0.17864245176315308,0.20331346988677979,1.907057762145996,1.0252306461334229,1.9718257188796997,1.0290712118148804
ACM,hard,45,Project-and-Concat,14,64,0.18291836977005005,0.19846661388874054,1.938767910003662,0.9505050182342529,2.076408624649048,0.9338522553443909
ACM,hard,45,raw_hidden,0,N/A,0.10375039279460907,0.08108624070882797,1.0506172180175781,0.07685776054859161,N/A,N/A
ACM,hard,45,raw_hidden,1,N/A,0.06223031133413315,0.06447958946228027,0.7156017422676086,0.04299687594175339,N/A,N/A
ACM,hard,45,raw_hidden,2,N/A,0.12356575578451157,0.2409266233444214,2.13478422164917,0.36715269088745117,N/A,N/A
ACM,hard,45,raw_hidden,3,N/A,0.20416495203971863,0.21727123856544495,2.0825440883636475,1.1627458333969116,N/A,N/A
ACM,hard,45,raw_hidden,4,N/A,0.19261710345745087,0.21874700486660004,2.0132524967193604,1.1763149499893188,N/A,N/A
ACM,hard,45,raw_hidden,5,N/A,0.18242457509040833,0.20690716803073883,1.9545997381210327,1.0243316888809204,N/A,N/A
ACM,hard,45,raw_hidden,6,N/A,0.1972634196281433,0.21541297435760498,2.0767030715942383,1.0712158679962158,N/A,N/A
ACM,hard,45,raw_hidden,7,N/A,0.1912870854139328,0.20926833152770996,2.0177667140960693,1.03594970703125,N/A,N/A
ACM,hard,45,raw_hidden,8,N/A,0.19741147756576538,0.1987721025943756,2.0260839462280273,0.9580232501029968,N/A,N/A
ACM,hard,45,raw_hidden,9,N/A,0.20101448893547058,0.24423891305923462,2.2384049892425537,1.1804026365280151,N/A,N/A
ACM,hard,45,raw_hidden,10,N/A,0.1819566786289215,0.2004280835390091,1.9520543813705444,0.9377534985542297,N/A,N/A
ACM,hard,45,raw_hidden,11,N/A,0.19673962891101837,0.2238476276397705,2.1025803089141846,1.123952031135559,N/A,N/A
ACM,hard,45,raw_hidden,12,N/A,0.18628692626953125,0.20187650620937347,1.9527606964111328,1.0079532861709595,N/A,N/A
ACM,hard,45,raw_hidden,13,N/A,0.17864245176315308,0.20331346988677979,1.907057762145996,1.0252306461334229,N/A,N/A
ACM,hard,45,raw_hidden,14,N/A,0.18291836977005005,0.19846661388874054,1.938767910003662,0.9505050182342529,N/A,N/A
ACM,hard,45,Gated Fusion,0,128,0.10375039279460907,0.08108624070882797,1.0506172180175781,0.07685776054859161,0.7836547493934631,0.046232420951128006
ACM,hard,45,Gated Fusion,1,128,0.06223031133413315,0.06447958946228027,0.7156017422676086,0.04299687594175339,0.6601291298866272,0.05842771753668785
ACM,hard,45,Gated Fusion,2,128,0.12356575578451157,0.2409266233444214,2.13478422164917,0.36715269088745117,1.3305147886276245,0.18422701954841614
ACM,hard,45,Gated Fusion,3,128,0.20416495203971863,0.21727123856544495,2.0825440883636475,1.1627458333969116,1.488756775856018,0.6748334765434265
ACM,hard,45,Gated Fusion,4,128,0.19261710345745087,0.21874700486660004,2.0132524967193604,1.1763149499893188,1.2149990797042847,0.6220293045043945
ACM,hard,45,Gated Fusion,5,128,0.18242457509040833,0.20690716803073883,1.9545997381210327,1.0243316888809204,1.218627691268921,0.5430366396903992
ACM,hard,45,Gated Fusion,6,128,0.1972634196281433,0.21541297435760498,2.0767030715942383,1.0712158679962158,1.2569811344146729,0.5262361764907837
ACM,hard,45,Gated Fusion,7,128,0.1912870854139328,0.20926833152770996,2.0177667140960693,1.03594970703125,1.3642313480377197,0.5837670564651489
ACM,hard,45,Gated Fusion,8,128,0.19741147756576538,0.1987721025943756,2.0260839462280273,0.9580232501029968,1.2532471418380737,0.5391786694526672
ACM,hard,45,Gated Fusion,9,128,0.20101448893547058,0.24423891305923462,2.2384049892425537,1.1804026365280151,1.307734489440918,0.6244636178016663
ACM,hard,45,Gated Fusion,10,128,0.1819566786289215,0.2004280835390091,1.9520543813705444,0.9377534985542297,1.33073890209198,0.580588161945343
ACM,hard,45,Gated Fusion,11,128,0.19673962891101837,0.2238476276397705,2.1025803089141846,1.123952031135559,1.2832610607147217,0.608309268951416
ACM,hard,45,Gated Fusion,12,128,0.18628692626953125,0.20187650620937347,1.9527606964111328,1.0079532861709595,1.2850786447525024,0.587961733341217
ACM,hard,45,Gated Fusion,13,128,0.17864245176315308,0.20331346988677979,1.907057762145996,1.0252306461334229,1.243088960647583,0.5509303212165833
ACM,hard,45,Gated Fusion,14,128,0.18291836977005005,0.19846661388874054,1.938767910003662,0.9505050182342529,1.4614681005477905,0.591618537902832
ACM,hard,45,raw_hidden,0,N/A,0.10375039279460907,0.08108624070882797,1.0506172180175781,0.07685776054859161,N/A,N/A
ACM,hard,45,raw_hidden,2,N/A,0.12356575578451157,0.2409266233444214,2.13478422164917,0.36715269088745117,N/A,N/A
ACM,hard,45,raw_hidden,1,N/A,0.06223031133413315,0.06447958946228027,0.7156017422676086,0.04299687594175339,N/A,N/A
ACM,hard,45,raw_hidden,3,N/A,0.20416495203971863,0.21727123856544495,2.0825440883636475,1.1627458333969116,N/A,N/A
ACM,hard,45,raw_hidden,12,N/A,0.18628692626953125,0.20187650620937347,1.9527606964111328,1.0079532861709595,N/A,N/A
ACM,hard,45,Reliability-Selected Project-and-Mean,0,32,0.10375039279460907,0.08108624070882797,1.0506172180175781,0.07685776054859161,0.1770607829093933,0.06762095540761948
ACM,hard,45,Reliability-Selected Project-and-Mean,2,32,0.12356575578451157,0.2409266233444214,2.13478422164917,0.36715269088745117,0.18463727831840515,0.09998245537281036
ACM,hard,45,Reliability-Selected Project-and-Mean,1,32,0.06223031133413315,0.06447958946228027,0.7156017422676086,0.04299687594175339,0.12058994174003601,0.03661363571882248
