dataset,setting,seed,method,d_ref,lr,weight_decay,val_acc,test_acc,macro_f1,best_epoch,first_loss,best_loss,param_count,party_ids,role,selected
ACM,hard,42,Useful-Only Gated Fusion,64,0.0003,0.0,0.7798013091087341,0.7693575024604797,0.7570057976153897,197,1.0974873304367065,0.6896271705627441,12870,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,64,0.0003,0.0001,0.8261589407920837,0.8105436563491821,0.8042233148572563,145,1.0972332954406738,0.8321492671966553,12870,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,128,0.001,0.0,0.8261589407920837,0.8451400399208069,0.8467220598313987,181,1.0968129634857178,0.2631182074546814,25734,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,128,0.001,0.0001,0.8311258554458618,0.8385502696037292,0.8398515107791136,170,1.1005921363830566,0.2604082524776459,25734,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,128,0.0003,0.0,0.8692052960395813,0.8813838362693787,0.8800950591240596,20,1.0958784818649292,1.0691540241241455,25734,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,42,Useful-Only Gated Fusion,128,0.0003,0.0001,0.8178808093070984,0.7940691709518433,0.7802461445487602,127,1.0990896224975586,0.806086003780365,25734,"[0, 1, 2]",diagnostic_oracle,False
ACM,hard,43,Project-and-Mean,32,0.001,0.0,0.559602677822113,0.5370675325393677,0.5406445806220354,168,1.1608479022979736,0.016497991979122162,32259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,32,0.001,0.0001,0.6158940196037292,0.6161449551582336,0.6174412989175603,45,1.1182528734207153,0.08583401143550873,32259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,True
ACM,hard,43,Project-and-Mean,32,0.0003,0.0,0.5761589407920837,0.5716639161109924,0.5769293514194157,117,1.1043552160263062,0.11266150325536728,32259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,32,0.0003,0.0001,0.5827814340591431,0.576606273651123,0.5785729879599611,181,1.0932636260986328,0.07933387160301208,32259,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,64,0.001,0.0,0.5711920261383057,0.5551894307136536,0.5563831888974745,120,1.0954365730285645,0.006886472925543785,64515,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,64,0.001,0.0001,0.5678808093070984,0.563426673412323,0.565165107797137,151,1.102137804031372,0.0053772954270243645,64515,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,64,0.0003,0.0,0.5745033025741577,0.5782536864280701,0.5802656810200661,197,1.1962205171585083,0.02079753577709198,64515,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,64,0.0003,0.0001,0.557947039604187,0.5601317882537842,0.5621503933012939,181,1.1646937131881714,0.021371446549892426,64515,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,128,0.001,0.0,0.5529801249504089,0.561779260635376,0.5625469074914967,192,1.0642075538635254,0.0010390718234702945,129027,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,128,0.001,0.0001,0.5678808093070984,0.5535420179367065,0.5550034907681805,173,1.0894205570220947,0.0016007237136363983,129027,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,128,0.0003,0.0,0.5281456708908081,0.51729816198349,0.5205090225892025,191,1.1269991397857666,0.006877926643937826,129027,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Mean,128,0.0003,0.0001,0.559602677822113,0.5518945455551147,0.5540618802918532,197,1.1884011030197144,0.007437102496623993,129027,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,32,0.001,0.0,0.42384105920791626,0.42504119873046875,0.4199371521120703,16,1.099329948425293,0.495561808347702,62179,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,32,0.001,0.0001,0.3973509967327118,0.42833608388900757,0.4248003130324623,36,1.0984294414520264,0.012356671504676342,62179,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,32,0.0003,0.0,0.40066224336624146,0.42009884119033813,0.41575939638522824,85,1.10277259349823,0.04498131200671196,62179,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,32,0.0003,0.0001,0.4089404046535492,0.4085667133331299,0.40678150523357587,195,1.0968401432037354,0.0036398631054908037,62179,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,64,0.001,0.0,0.4420529901981354,0.4118616282939911,0.34531773600457133,2,1.0979751348495483,1.0083909034729004,124099,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,True
ACM,hard,43,Project-and-Concat,64,0.001,0.0001,0.38907283544540405,0.40527182817459106,0.3997278585886761,20,1.0986874103546143,0.07122605293989182,124099,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,64,0.0003,0.0,0.43543046712875366,0.42174628376960754,0.41795292019472435,56,1.0966368913650513,0.09102277457714081,124099,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,64,0.0003,0.0001,0.3990066349506378,0.40197694301605225,0.3878360600024875,25,1.1024816036224365,0.6373848915100098,124099,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,128,0.001,0.0,0.4139072895050049,0.429983526468277,0.42466532377451444,15,1.0940543413162231,0.04811229184269905,247939,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,128,0.001,0.0001,0.41059601306915283,0.42504119873046875,0.4253706954042034,6,1.0974448919296265,0.6131904125213623,247939,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,128,0.0003,0.0,0.4155629277229309,0.429983526468277,0.42799197112750637,93,1.0955500602722168,0.0030871559865772724,247939,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Project-and-Concat,128,0.0003,0.0001,0.4023178815841675,0.4151565134525299,0.41497174308319823,127,1.0983235836029053,0.0019970275461673737,247939,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
ACM,hard,43,Gated Fusion,32,0.001,0.0,0.3576158881187439,0.3723228871822357,0.3665148214371612,189,1.0944744348526,0.023816734552383423,31794,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",main,False
